题记序号,题记名称,时间,公元纪年,地点,窟位,造像者人数,性别,所造佛像名称,出资者,造像者身份表述,阶层,社邑组织,实践行为（一级编码）,实践行为（二级编码）,祈愿内容（一级编码）,祈愿内容（二级编码）,造像原因（一级编码）,造像原因（二级编码）,关联历史事件,经文,妆造类型,宗教类型,宗派倾向(主宗派倾向；副宗派倾向）,备注
711,重龙山造地藏像记,晚唐,836-907,四川省资中重龙山摩崖造像,第 94 号龛,1,[不详],地藏菩萨,[不详],弟子,平民合众,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,地藏体系,
712,重龙山造释迦摩尼像记,后蜀广政二十一年（958 年）,958,四川省资中重龙山摩崖造像,第 145 号龛,1,未知（题记模糊）,释迦牟尼佛并都部众,[不详],弟子,平民合众,非社邑,造像制作、,发心造像,超度往生,亡亲超荐 (为亡□王氏),超度荐亡,亡亲超荐,[不详],[不详],新造,佛教,无法判定,
713,重龙山造华严三圣像记,北宋,960-1127,四川省资中重龙山摩崖造像,第 155 号龛,[不详],[不详],华严三圣,[不详],弟子,平民合众,非社邑,造像制作、造像制作、,发心造像、镌刻雕造,现世福报,家庭和睦 (合家平安),祈福禳灾,护宅安镇,[不详],[不详],新造,佛教,华严,
714,重龙山道芝造像记,北宋,960-1127,四川省资中重龙山摩崖造像,第 157 号龛,3,男 3 人,药师琉璃光佛并部众,道芝、惠岩、弘真,僧人,僧尼个体,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,药师体系,
715,南龛寺寂益造像记,不详,不详,四川省巴中市巴州区南龛寺神仙坡北段,103 龛,5,男 5 人,不详,寂益、普遍印祥静等,住持释子、徒弟,僧尼个体,非社邑,信息不详、,信息不详,信息不详,信息不详 (修缮),修复缮完,修缮古迹,[不详],[不详],重修,佛教,无法判定,
716,南龛寺王尚玉造像记,不详,不详,四川省巴中市巴州区南龛寺神仙坡北段,103 龛,3,男 2 人、女 1 人,不详,王尚玉、李氏、李贵元,信众、夫妇,平民合众,非社邑,寺院建设、,建寺创殿,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,无法判定,无法判定,
717,西龛子蒙造像记,唐乾符五年（878 年）,878,四川省巴中市巴中石窟西龛,21 龛,7,男 7 人,不详,子蒙、广之、仰之等,士人,名门士族,非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,无法判定,无法判定,
718,卧佛院冯政造像记,南宋绍兴年间,1131-1162,四川省安岳卧佛院北岩区,第 17 号摩崖题记,1,男≥5 人,卧佛,冯政母、冯士□等,信众,平民合众,非社邑,游观题咏、,游观题名,信息不详,信息不详 (重修),修复缮完,重修古迹,[不详],[不详],重修,佛教,无法判定,
719,卧佛院王彦昭造尊胜幢像记,后蜀广政二十四年（961 年）,961,四川省安岳卧佛院,52 号经幢（备注记为 51 号）,1,男 1 人,尊胜幢座,王彦昭,前摄龙州兼普军州事衙推、五音地理,在职官员,非社邑,庄严修饰、,重装修饰,现世福报,消灾免难 (咸乞康宁，此世不值冤嫌),超度荐亡,亡亲超荐,[不详],[不详],新造,佛教,密教,
720,卧佛院王彦昭造三身佛像记,后蜀广政二十二年（959 年）,959,四川省安岳卧佛院,52 号经幢下方,1,男 1 人,三身佛并经龛,王彦昭,前撮龙州军事兼普州军事衙推、五音地理,在职官员,非社邑,造像制作、造像制作、,发心造像、造塔建幢,现世福报,家庭和睦 (眷属團圓),修复缮完,修复圣像 (修装),[不详],[不详],重妆,佛教,无法判定,
721,卧佛院张心造像记,后蜀广政二年,939,四川省安岳卧佛院,68 号龛,2,男 1 人、女1人,释迦牟尼佛并阿难迦叶与部众,张心、妇,弟子、夫妇,平民合众,非社邑,庄严修饰、,重装修饰,现世福报,家庭和睦 (合家眷属),修复缮完,修复圣像 (修装),[不详],[不详],重妆,佛教,无法判定,
722,卧佛院冯崇造像记,北宋开宝七年（974 年）,974,四川省安岳卧佛院,70 号龛,2,男 1 人、女 1 人,释迦牟尼佛部众、遮佛龛厦舍,冯崇、妇,弟子、夫妇,平民合众,非社邑,庄严修饰、,重装修饰,现世福报,家庭和睦 (合家大小),修复缮完,修复圣像 (修装),[不详],[不详],重妆,佛教,无法判定,
723,卧佛院蒙彦進造像记,后蜀广政年间,938-965,四川省安岳卧佛院,82 号龛,1,男 1 人、女 1 人,释迦牟尼佛并部众,蒙彦進、罗氏,弟子、夫妇,平民合众,非社邑,庄严修饰、,重装修饰,现世福报,家庭和睦 (合家大小),修复缮完,修复圣像 (修粧),家庭变故(为女弟子刘氏小女祈福),[不详],重妆,佛教,无法判定,
724,卧佛院黄贵造像记,后蜀广政年间,938-965,四川省安岳卧佛院,116-1 号龛,至少4人,男≥3 人、女≥1 人,佛像,黄贵□旁,積善弟子,平民合众,非社邑,庄严修饰、,重装修饰,信息不详,信息不详 (重装),修复缮完,修复圣像 (重装),家庭变故(自身染疾重装祈福),[不详],重妆,佛教,无法判定,
725,卧佛院慈海造像记,北宋政和四年（1114 年）或宣和四年（1122 年）,1114 或 1122,四川省安岳卧佛院,51 窟,8,男 7 人、女 1 人,不详,慈海、杨德和、德舜、谭彦宗夫妇等,僧人、镌匠、弟子,混合群体(僧尼个体、商贾匠人、普通百姓),非社邑,造像制作、造像制作、,发心造像、镌刻雕造,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,无法判定,
726,报国寺5-3龛造像记,不详,不详,四川乐至县报国寺摩崖造像,5-3 龛,[不详],[不详],不详,[不详],信众,[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,无法判定,无法判定,
727,报国寺6号龛造像记,不详,不详,四川乐至县报国寺摩崖造像,6 号龛,1,[不详],不详,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,无法判定,无法判定,
728,报国寺谢大泽造像记,不详,不详,四川乐至县报国寺摩崖造像,7 号龛,1,男 1 人,不详,谢大泽,邑人、书手,平民合众,非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,无法判定,
729,报国寺紹疑造像记,后蜀广政二十六年（963 年）,963,四川乐至县报国寺摩崖造像,8 号龛,1,男 1 人,地藏菩萨、白衣观音菩萨,紹疑及信众,住持僧、弟子,混合群体(僧尼个体、普通百姓),非社邑,造像制作、造像制作、,发心造像、镌刻雕造,信息不详,信息不详,祈福禳灾,护宅安镇,[不详],[不详],新造,佛教,"密教,观音体系；地藏体系",
730,杀人槽造像记,唐元和十五年（820 年）,820,仁寿县大化镇杀人槽摩崖造像,第 10 龛,1,男 ,造像碑,[不详],弟子,平民合众,非社邑,造像制作、纪念庆赞、,发心造像、立碑题铭,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,无法判定,
731,石佛寺罗君憘造像记,北宋天禧四年（1020 年）,1020,重庆市江津区石佛寺遗址,K3,1,男 1 人,佛足,罗君憘,弟子,平民合众,非社邑,造像制作、,复新重修,信息不详,信息不详 (重修),修复缮完,修复圣像 (修佛足),[不详],[不详],重修,佛教,无法判定,
732,石佛寺张氏六娘子造像记,北宋元祐元年（1086 年）,1086,重庆市江津区石佛寺遗址,K4,1,男 1人、女 1 人,石灯轮,张氏六娘子、僧清宝、何延福,信众、僧人、作头,混合群体(僧尼个体、商贾匠人、普通百姓),非社邑,造像制作、供养施舍、纪念庆赞、,发心造像、施财舍物、设斋表赞,现世福报,消灾免难 (无灾),祈福禳灾,消灾免难,[不详],[不详],新造,佛教,无法判定,
733,石佛寺寋清造像记,南宋绍兴壬申年（1152 年）,1152,重庆市江津区石佛寺遗址,K4,1,男 1 人,泗州大圣,寋清,处士,名门士族,非社邑,造像制作、,镌刻雕造,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,观音体系,
734,佛岩造像记,前蜀永平三年（913 年）,913,四川省安岳县偏岩乡佛岩摩崖造像,[不详],[不详],[不详],菩提瑞像,[不详],弟子,平民合众,非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,无法判定,
735,佛岩杨常陵造像记,五代,907-960,四川省安岳县偏岩乡佛岩摩崖造像,第 11 龛,1,男≥3 人,佛像、塔,杨常陵、杨师谋等,地主、信众,平民合众,非社邑,造像制作、造像制作、,发心造像、镌刻雕造,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,无法判定,
736,高升乡千佛崖13号龛造像记,晚唐至五代,836-960,四川安岳高升乡千佛崖摩崖造像,13 号龛,1,[不详],一佛,[不详],弟子,平民合众,非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,无法判定,
737,高升乡千佛崖造地藏像记,晚唐至五代,836-960,四川安岳高升乡千佛崖摩崖造像,13 号龛,1,男1 人,地藏菩萨,[不详],弟子,平民合众,非社邑,造像制作、,发心造像,超度往生,往生净土 (愿亡考生天见佛离苦),超度荐亡,亡亲超荐,[亡亲祈福] 为亡考离苦生天,[不详],新造,佛教,地藏体系,
738,高升乡千佛崖妙缘造地藏像记,后蜀广政二十二年（959 年）,959,四川安岳高升乡千佛崖摩崖造像,13 号龛,1,男 1 人,地藏菩萨,妙缘,比丘,僧尼个体,非社邑,庄严修饰、,重装修饰,信息不详,信息不详 (报妆),修复缮完,修复圣像 (报妆),[不详],[不详],重妆,佛教,地藏体系,
739,高升乡千佛崖妙缘造救苦菩萨像记,后蜀广政二十二年（959 年）,959,四川安岳高升乡千佛崖摩崖造像,13 号龛,1,男 1 人,救苦菩萨,妙缘,比丘,僧尼个体,非社邑,庄严修饰、,重装修饰,信息不详,信息不详 (报妆),修复缮完,修复圣像 (报妆),[不详],[不详],重妆,佛教,观音体系,
740,高升乡千佛崖侯行造像记,晚唐至五代,836-960,四川安岳高升乡千佛崖摩崖造像,13 号龛,1,男 1 人,观世音菩萨,侯行□,弟子,平民合众,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,观音体系,
741,高升乡千佛崖文玄朗造像记,后蜀广政廿七年（964 年）,964,四川安岳高升乡千佛崖摩崖造像,16 号龛,1,男 1 人、女≥1 人,不详,文玄朗及家眷,衙推、弟子,在职官员,非社邑,庄严修饰、,重装修饰,信息不详,信息不详 (修妆),修复缮完,修复圣像 (修妆),[不详],[不详],重妆,无法判定,无法判定,
742,高升乡千佛崖造阿弥陀佛像记,晚唐至五代,836-960,四川安岳高升乡千佛崖摩崖造像,16 号龛,[不详],[不详],阿弥陀佛,[不详],弟子,平民合众,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,净土,
743,高升乡千佛崖龙武造像记,唐光启二年（886 年）,886,四川安岳高升乡千佛崖摩崖造像,17 号龛,至少8人,男≥8 人,造像碑,龙武□□、何师本等,弟子,平民合众,非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,无法判定,
744,高升乡千佛崖造释迦摩尼像记,唐长庆元年（821 年）动工，大和二年（828 年）完工,821-828,四川安岳高升乡千佛崖摩崖造像,20 号龛,至少44人,男≥43人，女≥1人,释迦牟尼佛、八部之众,杨述俊、勾唯干等,弟子,平民合众,社邑,造像制作、造像制作、庄严修饰、纪念庆赞、,发心造像、镌刻雕造、妆銮彩绘、立碑题铭,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,无法判定,
745,高升乡千佛崖22号龛造观音像记,唐开成二年（837 年）,837,四川安岳高升乡千佛崖摩崖造像,22 号龛,[不详],[不详],大悲观音,[不详],弟子,平民合众,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,观音体系,
746,高升乡千佛崖造像记,不详,不详,四川安岳高升乡千佛崖摩崖造像,22 号龛,[不详],[不详],不详,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,[不详],[不详],重妆,无法判定,无法判定,
747,西山观陈造像记,初唐,618-712,四川省绵阳西山观,[37764 号] 遗留残石,至少25人,男≥15 人、女≥10 人,道教像、供养人像,陈□□、蒲仲虚、杨大娘等,三洞道士、骑都尉、品子、信众,混合群体(在职官员、道士、普通百姓),社邑,造像制作、,集体共修,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,道教,无法判定,
748,西山观女造像记,唐武德二年（619 年，题记改刻为至德二年 757 年）,619、757,四川省绵阳西山观,[37766 号] 遗留残石,1,男,天尊像,女□□,三洞弟子,平民合众,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,道教,无法判定,
749,寂光寺寂光师造像记,唐至德二载（757 年）,757,四川安岳寂光寺摩崖造像,第 4 龛,1,男≥3 人、女≥1 人,不详,寂光师及信众,僧人、弟子,混合群体(僧尼个体、普通百姓),非社邑,造像制作、,发心造像,国邦安宁,国运太平,护国兴邦,护国安邦,[不详],[不详],新造,无法判定,无法判定,
750,佛耳岩造像记,唐武德三年（620 年）,620,四川安岳永清佛耳岩摩崖造像,第 45 龛,1,男≥1 人,一佛二弟子二菩萨、二力士、二狮子、四供养人,□□□,弟子,平民合众,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,无法判定,
751,塔子梁董善愿造像记,唐武德九年（626 年）,626,四川江油龙凤镇塔子梁摩崖造像,第 12 龛,1,男 1 人,一佛二弟子二菩萨、二狮子,董善愿,信众,平民合众,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,[亡者供养],[不详],新造,佛教,无法判定,
752,石室观王鞮造像记,隋开皇十四年（594 年）,594,四川阆中石室观摩崖造像,K2,1,男 1 人,一天尊二弟子二真人二侍童,王鞮□,弟子,平民合众,非社邑,造像制作、,发心造像,超度往生,亡亲超荐 (为亡父),超度荐亡,亡亲超荐,[亡亲祈福] 为亡父亡兄,[不详],新造,道教,无法判定,下元节
753,石室观赵法会造像记,隋开皇十五年（595 年）,595,四川阆中石室观摩崖造像,K3,6,男 6 人,天尊像、真人、仙男仙女,赵法会、侯董子等,三洞弟子、道民,平民合众,非社邑,造像制作、造像制作、,发心造像、集体共修,超度往生,亡亲超荐 (愿亡者□天□苦),超度荐亡,亡亲超荐,[不详],[不详],新造,道教,无法判定,下元节
754,石室观侯竹亮造像记,唐贞观十年（636 年）,636,可能为四川阆中石室观摩崖造像,K7,至少18人,男≥18 人,一老君二真人二供养人,侯竹亮、李文艺等,弟子、书手,平民合众,社邑,造像制作、寺院建设、,发心造像、开窟凿洞,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,道教,无法判定,
755,石室观侯善寿造像记,唐开元七年（719 年）,719,可能为四川阆中石室观摩崖造像,K9,1,男 1 人,天尊一座及左右真人,侯善寿,弟子,平民合众,非社邑,造像制作、,发心造像,超度往生,亡亲超荐 (为亡灵父母),超度荐亡,亡亲超荐,[亡亲祈福] 为亡父母,[不详],新造,道教,无法判定,
756,石室观侯永仁造像记,唐神龙二年（706 年）,706,四川阆中石室观,[不详],至少50人,男≥30 人、女≥20 人,修缮原有道教造像,侯永仁、何至真、范智靖等,社老、观主、弟子、女弟子,混合群体(道士、普通百姓),社邑,特殊行为、,营办藏经,国邦安宁,国运太平,护国兴邦,护国安邦,[不详],[灵宝尊经、斋社经],重修 + 新造,道教,无法判定,上元节
757,千佛崖田造像记,武周时期,690-705,四川广元千佛崖莲花洞,535-99 号龛,1,男,释迦佛像,田□□,弟子,平民合众,非社邑,造像制作、,发心造像,超度往生,亡亲超荐 (为亡灵),超度荐亡,亡亲超荐,[亡亲祈福] 为七代先亡,[不详],新造,佛教,无法判定,
758,甲扎尔甲石窟藏文造像记-1,14-15世纪,1301—1500,四川马尔康室甲扎尔甲石窟,K区K1-5,不详,不详,尊像,不详,无,[不详],非社邑,信息不详,信息不详,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,密教,藏文
759,甲扎尔甲石窟藏文造像记-2,14-15世纪,1301—1500,四川马尔康室甲扎尔甲石窟,K区K1-5,不详,不详,尊像,不详,无,[不详],非社邑,信息不详,信息不详,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,无法判定,藏文
760,甲扎尔甲石窟藏文造像记-3,14-15世纪,1301—1500,四川马尔康室甲扎尔甲石窟,Z区Z6--1,不详,不详,尊像,不详,无,[不详],非社邑,信息不详,信息不详,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,密教,藏文
761,玉女泉道灵寿造像记,唐咸通十二年（871 年）,871,绵阳市西山玉女泉摩崖造像,第 31 龛,8,男 4 人、女 4 人,天尊老君,道□□靈壽、景好古,三洞道士、书人,道士,社邑,造像制作、纪念庆赞、,发心造像、设斋表赞,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,道教,无法判定,
762,玉女泉雍纣盈造像记,不详,不详,绵阳市西山玉女泉摩崖造像,31 龛,至少8人,男≥6 人、女≥2 人,供养人像（雍紂盈等）,雍紂盈、尹富榮、□大仙等,文師、洞玄道士、平民,混合群体(道士、普通百姓),非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,道教,无法判定,
763,石匣寺郑神瓘造像记,唐开元九年（721 年）,721,四川乐至县石匣寺摩崖造像,8 号龛,[不详],[不详],造像碑、二菩萨,郑神瓘及家眷,弟子、夫妻,平民合众,非社邑,造像制作、纪念庆赞、,发心造像、立碑题铭,信息不详,信息不详,信息不详,信息不详,[不详],[般若波罗蜜多心经],新造,佛教,无法判定,
764,石匣寺文满周造像记,北宋淳化四年（993 年）,993,四川乐至县石匣寺摩崖造像,16 号,至少4人,男≥4 人,石阶一所、路道,文满周、王氏及家眷,清信弟子,平民合众,非社邑,造像制作、寺院建设、,发心造像、修桥铺路,现世福报,福寿康宁 (夫妇寿算延远),祈福禳灾,延寿增福,[不详],[不详],新造,佛教,净土,
765,石匣寺王汉宗造像记,北宋淳化四年（993 年）,993,四川乐至县石匣寺摩崖造像,16 号,3,男 3 人,释迦牟尼佛、金刚力士、香花菩萨,王汉宗、衡氏等众户,清信弟子,平民合众,社邑,庄严修饰、,重装修饰,信息不详,信息不详 (重妆),修复缮完,修复圣像 (重妆),[不详],[不详],重妆,佛教,无法判定,
766,张家庙造像记,南宋绍兴三年（1133 年）,1133,重庆市大足区龙石乡张家庙摩崖造像,第 3 号龛,至少2人,男≥2 人,西方三圣,不详,弟子,平民合众,非社邑,造像制作、,镌刻雕造,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,净土,
767,卧佛院母山造像记,南宋绍兴四年（1134 年）,1134,四川安岳卧佛院摩崖造像,第 3 号窟,3,男 1 人,卧佛并侍者、岩巨,母山、男士幼、士章,攻镌匠人、孙氏后裔,混合群体(名门士族、商贾匠人),非社邑,庄严修饰、,重装修饰,信息不详,信息不详 (重修),修复缮完,重修古迹,[不详],[不详],重修,佛教,无法判定,
768,千佛崖吕再兴造像记,南宋绍兴八年（1138 年）,1138,四川广元千佛崖摩崖造像,第 28 号窟,至少4人,男≥4 人,释迦佛,吕再兴、刘立、田忠,瓷窑户、平民,平民合众,非社邑,庄严修饰、,重装修饰,信息不详,信息不详 (重妆),修复缮完,修复圣像 (重妆),[不详],[不详],重妆,佛教,无法判定,
769,千佛崖北端造像记,南宋绍兴八年（1138 年）,1138,四川广元千佛崖摩崖造像,第 4 号睡佛窟,1,男,卧如来,□北端兄弟,平民,平民合众,非社邑,庄严修饰、,重装修饰,信息不详,信息不详 (重妆),修复缮完,修复圣像 (重妆),[不详],[不详],重妆,佛教,无法判定,
770,北山赵瓦造像记,南宋绍兴十七年（1147 年）,1147,重庆大足北山摩崖造像,多宝塔塔门,2,男 2 人,多宝塔,赵瓦,平民,平民合众,非社邑,造像制作、,造塔建幢,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,无法判定,
771,白塔院李宗良造像记,南宋绍兴二十年（1150 年）,1150,四川资阳市乐至县白塔院,不详,2,男 1 人,25 尊圣像、《重修白塔院圣像记》碑,李宗良、李良宗、母士隆,信士弟子、孙氏后裔,混合群体(名门士族、普通百姓),非社邑,造像制作、寺院建设、造像制作、纪念庆赞、,复新重修、开窟凿洞、镌刻雕造、立碑题铭,信息不详,信息不详,修复缮完,重修古迹,[孝行] 继父志重修圣像,[不详],重修 + 新造,佛教,净土,
772,净慧岩赵庆升造像记,南宋绍兴二十一年（1151 年）,1151,四川安岳净慧岩摩崖造像,第 6 号,2,男≥1 人,赵庆升居士像,赵庆升、文仲璋,居士、攻镌匠人,混合群体(名门士族、商贾匠人),非社邑,造像制作、纪念庆赞、,镌刻雕造、立碑题铭,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,无法判定,
773,净慧岩文仲璋造像记,南宋绍兴二十一年（1151 年）,1151,四川安岳净慧岩摩崖造像,15 号龛,1,男≥3 人、女 1 人,数珠手观音像,文仲璋、文琇,攻镌匠人父子,商贾匠人,非社邑,造像制作、,镌刻雕造,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,"密教,观音体系",
774,卧佛院王官学造像记,南宋绍兴二十八年（1158 年）,1158,四川安岳卧佛院摩崖造像,第 3 号释迦涅槃变相窟,[不详],[不详],释迦佛,王官学,朝散大夫、知州,在职官员,非社邑,庄严修饰、,重装修饰,信息不详,信息不详 (重妆),修复缮完,修复圣像 (重妆),[不详],[不详],重妆,佛教,无法判定,
775,涞滩二佛寺当保弟造像记,南宋淳熙十四年（1177 年）,1177,重庆市合川区涞滩二佛寺南岩,第 3 号,[不详],[不详],达摩像,当保弟□□□□,平民,平民合众,非社邑,造像制作、,镌刻雕造,现世福报,福寿康宁 (此世来生福报),祈福禳灾,延寿增福,[祈愿] 此世来生福报,[不详],新造,佛教,禅宗,
776,涞滩二佛寺孙造像记,南宋淳熙十四年（1177 年）,1177,重庆市合川区涞滩二佛寺南岩,第 3 号,2,男 1 人、女 1 人,须菩提像,孙□、罗氏二娘、僧绍□,平民、僧人,混合群体(僧尼个体、普通百姓),非社邑,造像制作、,镌刻雕造,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,无法判定,
777,涞滩二佛寺造释迦摩尼像记,南宋淳熙十三年（1186 年）,1186,重庆市合川区涞滩二佛寺西岩,第 15 号,2,男 2 人,释迦牟尼佛与禅宗六祖,不详,弟子,平民合众,非社邑,造像制作、,镌刻雕造,修行证悟,普度众生 (上报四恩),报恩酬德,报四恩,[上报四恩 / 下资三有 / 普及法界],[不详],新造,佛教,禅宗,
778,千佛寨造释迦像记,南宋绍熙四年（1193 年）,1193,四川安岳千佛寨摩崖造像,第 38 号龛,至少5人,男≥5 人,释迦佛,不详,弟子,平民合众,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,无法判定,
779,千佛寨王天麒造像记,南宋庆元二年（1196 年）,1196,四川安岳千佛寨摩崖造像,第 58 号龛,[不详],[不详],佛像,王天麒、周氏喜娘,佛弟子夫妻,平民合众,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,[亡亲祈福] 为李氏往生,[不详],新造,佛教,无法判定,
780,涞滩二佛寺罗廷俊造像记,南宋嘉泰元年（1201 年）,1201,重庆市合川区涞滩二佛寺西岩,第 5 号龛,[不详],[不详],西方三圣龛,罗廷俊、僧绍灯,平民、僧人,混合群体(僧尼个体、普通百姓),非社邑,造像制作、,发心造像,超度往生,往生净土 (李氏往生净土),超度荐亡,亡亲超荐,[祈愿] 李氏往生净土,[不详],新造,佛教,净土,
781,深甫造像记,南宋嘉泰二年（1201 年）,1202,四川省简阳市摩崖造像,不详,[不详],[不详],佛像（重修旧龛 + 新开七龛）,深甫、檀越、母震等,信众、匠人,混合群体(商贾匠人、普通百姓),非社邑,造像制作、寺院建设、,复新重修、开窟凿洞,现世福报,福寿康宁 (寿禄高崇),修复缮完,重修古迹,[知府寿禄高崇 / 光荣世裔],[不详],重修 + 新造,佛教,无法判定,
782,千佛寨造天王像记,南宋嘉泰三年（1203 年）,1203,四川安岳千佛寨摩崖造像,5 号龛,[不详],[不详],四菩萨、天王,不详,弟子,平民合众,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,无法判定,
783,嘉定四年菩萨岩造像记,南宋嘉定四年（1211 年）,1211,四川安岳双龙街乡菩萨岩摩崖造像,不详,1,男,佛、菩萨,不详,弟子,平民合众,非社邑,造像制作、,发心造像,超度往生,亡亲超荐 (超度先祖),超度荐亡,亡亲超荐,[亡亲超度] 为先祖第一代,[不详],新造,佛教,无法判定,
784,大庙山杜氏造像记,南宋嘉定十三年（1220 年）,1220,四川绵阳梓潼县大庙山,不详,1,女,三百佛像（巨像 3 尊 + 小像 297 尊）,杜氏,迪功郎、梓潼县主簿,在职官员,非社邑,造像制作、造像制作、,发心造像、镌刻雕造,佛法弘传,警世化人 (鸣指声不绝，起其善心),弘法传教,警世化人,[帝君显圣 / 士夫敬畏 / 善心萌发],[不详],新造,佛教,无法判定,
785,宝顶山道权造像记,南宋绍定四年（1231 年）,1231,重庆大足宝顶山小佛湾,第 9 号窟,1,未知（题记模糊）,释迦舍利宝塔禁中应现之图,道权,庆元府阿育王山广利禅寺住持,僧尼个体,非社邑,造像制作、,造塔建幢,国邦安宁,国运太平,护国兴邦,护国安邦,[不详],[不详],新造,佛教,无法判定,
786,华岩洞赵印存造像记,嘉熙庚子（1240 年）,1240,四川安岳赤水乡华岩洞摩崖造像,第 2 号窟,1,女,三教合窟（佛、道、儒）,赵印存叔,士人,名门士族,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,三教混合（佛道儒）,无法判定,
787,尼妙音题记,武德七年（624 年）,624,不详,不详,10,10 男,菩萨、金刚,比丘尼妙音,比丘尼,僧尼个体,非社邑,造像制作、,发心造像,现世福报,消灾免难 (强贼陵掠),祈福禳灾,消灾免难,[不详],[不详],新造,佛教,无法判定,
788,慈母龛记,武德七年（624 年）,624,不详,不详,1,男,释迦牟尼佛、思惟报母恩菩萨,不详,弟子,平民合众,非社邑,造像制作、,发心造像,信息不详,信息不详,报恩酬德,报父母恩,[不详],[不详],新造,佛教,无法判定,
789,尼净明题记,武德八年（625 年）,625,不详,不详,4,未知（题记模糊）,弥勒像,比丘尼净明、母陈满足,比丘尼、平民,混合群体(僧尼个体、普通百姓),非社邑,造像制作、,发心造像,现世福报,消灾免难 (为身抱患),祈福禳灾,祛病安康,[不详],[不详],新造,佛教,弥勒体系,
790,大唐渠州始安县冲相寺七佛龛铭碑,开元四年（716 年）,716,四川广安肖溪镇冲相寺,不详,4,4 男,维卫佛等七佛、狮子神,丁正己、杜文思、张承观等,长史、平民、参军,混合群体(在职官员、普通百姓),非社邑,造像制作、造像制作、庄严修饰、纪念庆赞、,发心造像、镌刻雕造、妆銮彩绘、立碑题铭,信息不详,信息不详,报恩酬德,报父母恩,[不详],[不详],新造,佛教,无法判定,
791,利州北师佛龛记,720 年,720,四川广元千佛崖,不详,1,男,佛龛造像,苏颋,礼部尚书、益州大都督府长史,在职官员,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,无法判定,
792,唐开元造像记,开元廿七年（739 年）,739,重庆市合川区濮岩寺,不详,1,男,文殊菩萨、阿弥陀佛（推定）,不详,弟子,平民合众,非社邑,造像制作、纪念庆赞、,发心造像、立碑题铭,信息不详,信息不详,信息不详,信息不详,[不详],[不详],新造,佛教,净土,
